ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,ZIM_LANG,ZIM_CODE,ARA_LANG,ARA_CODE,PST_LANG,PST_CODE,WHG,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2019-12-31,Z31122019,Wipkingen,R00102,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,11.0,Kreis 10 (ab 1934),R01500,2019-12-31,2019-12-31,2019,102
2019-12-31,Z31122019,Seefeld,R00081,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 8 (ab 1915),R01100,2019-12-31,2019-12-31,2019,81
2019-12-31,Z31122019,Wollishofen,R00021,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,75.0,Kreis 2 (ab 1893),R00200,2019-12-31,2019-12-31,2019,21
2019-12-31,Z31122019,Oberstrass,R00063,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,2.0,Kreis 6 (ab 1934),R01200,2019-12-31,2019-12-31,2019,63
2019-12-31,Z31122019,Oerlikon,R00115,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,49.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,115
2019-12-31,Z31122019,Wollishofen,R00021,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,Baubegonnen,PST0006,328.0,Kreis 2 (ab 1893),R00200,2019-12-31,2019-12-31,2019,21
2019-12-31,Z31122019,Altstetten,R00092,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,Baubegonnen,PST0006,182.0,Kreis 9 (ab 1934),R01400,2019-12-31,2019-12-31,2019,92
2019-12-31,Z31122019,Hirslanden,R00073,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,0.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,73
2019-12-31,Z31122019,Hirslanden,R00073,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,73
2019-12-31,Z31122019,Seebach,R00119,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,112.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,119
2019-12-31,Z31122019,Seebach,R00119,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,196.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,119
2019-12-31,Z31122019,Unterstrass,R00061,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,13.0,Kreis 6 (ab 1934),R01200,2019-12-31,2019-12-31,2019,61
2019-12-31,Z31122019,Höngg,R00101,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,Baubegonnen,PST0006,12.0,Kreis 10 (ab 1934),R01500,2019-12-31,2019-12-31,2019,101
2019-12-31,Z31122019,Fluntern,R00071,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,12.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,71
2019-12-31,Z31122019,Höngg,R00101,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,1.0,Kreis 10 (ab 1934),R01500,2019-12-31,2019-12-31,2019,101
2019-12-31,Z31122019,Höngg,R00101,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,6.0,Kreis 10 (ab 1934),R01500,2019-12-31,2019-12-31,2019,101
2019-12-31,Z31122019,Schwamendingen-Mitte,R00122,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,55.0,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2019-12-31,2019-12-31,2019,122
2019-12-31,Z31122019,Hard,R00044,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,104.0,Kreis 4 (ab 1915),R00700,2019-12-31,2019-12-31,2019,44
2019-12-31,Z31122019,Altstetten,R00092,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,Baubegonnen,PST0006,168.0,Kreis 9 (ab 1934),R01400,2019-12-31,2019-12-31,2019,92
2019-12-31,Z31122019,Witikon,R00074,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,38.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,74
2019-12-31,Z31122019,Oerlikon,R00115,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,3.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,115
2019-12-31,Z31122019,Hottingen,R00072,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,28.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,72
2019-12-31,Z31122019,Affoltern,R00111,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,159.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,111
2019-12-31,Z31122019,Fluntern,R00071,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,6.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,71
2019-12-31,Z31122019,Hirslanden,R00073,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,Baubegonnen,PST0006,0.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,73
2019-12-31,Z31122019,Oerlikon,R00115,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,Baubegonnen,PST0006,86.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,115
2019-12-31,Z31122019,Sihlfeld,R00034,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,2.0,Kreis 3 (ab 1915),R00600,2019-12-31,2019-12-31,2019,34
2019-12-31,Z31122019,Hirzenbach,R00123,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,Baubegonnen,PST0006,0.0,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2019-12-31,2019-12-31,2019,123
2019-12-31,Z31122019,Seefeld,R00081,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,4.0,Kreis 8 (ab 1915),R01100,2019-12-31,2019-12-31,2019,81
2019-12-31,Z31122019,Albisrieden,R00091,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,65.0,Kreis 9 (ab 1934),R01400,2019-12-31,2019-12-31,2019,91
2019-12-31,Z31122019,Hard,R00044,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,34.0,Kreis 4 (ab 1915),R00700,2019-12-31,2019-12-31,2019,44
2019-12-31,Z31122019,Höngg,R00101,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,Baubegonnen,PST0006,11.0,Kreis 10 (ab 1934),R01500,2019-12-31,2019-12-31,2019,101
