ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2019-12-31,Z31122019,Saatlen,R00121,8841.0,Veröffentlicht,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2019-12-31,2019-12-31,2019,121
2019-12-31,Z31122019,Oberstrass,R00063,10823.0,Veröffentlicht,Kreis 6 (ab 1934),R01200,2019-12-31,2019-12-31,2019,63
2019-12-31,Z31122019,Hottingen,R00072,11388.0,Veröffentlicht,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,72
2019-12-31,Z31122019,Werd,R00041,4455.0,Veröffentlicht,Kreis 4 (ab 1915),R00700,2019-12-31,2019-12-31,2019,41
2018-12-31,Z31122018,Alt-Wiedikon,R00031,17956.0,Veröffentlicht,Kreis 3 (ab 1915),R00600,2018-12-31,2018-12-31,2018,31
2018-12-31,Z31122018,Leimbach,R00023,6320.0,Veröffentlicht,Kreis 2 (ab 1893),R00200,2018-12-31,2018-12-31,2018,23
2018-12-31,Z31122018,Sihlfeld,R00034,21680.0,Veröffentlicht,Kreis 3 (ab 1915),R00600,2018-12-31,2018-12-31,2018,34
2018-12-31,Z31122018,Wollishofen,R00021,18923.0,Veröffentlicht,Kreis 2 (ab 1893),R00200,2018-12-31,2018-12-31,2018,21
2018-12-31,Z31122018,Altstetten,R00092,33461.0,Veröffentlicht,Kreis 9 (ab 1934),R01400,2018-12-31,2018-12-31,2018,92
2018-12-31,Z31122018,Escher Wyss,R00052,6066.0,Veröffentlicht,Kreis 5 (ab 1915),R00800,2018-12-31,2018-12-31,2018,52
2018-12-31,Z31122018,Oerlikon,R00115,23214.0,Veröffentlicht,Kreis 11 (ab 1970),R01800,2018-12-31,2018-12-31,2018,115
2018-12-31,Z31122018,Seebach,R00119,25568.0,Veröffentlicht,Kreis 11 (ab 1970),R01800,2018-12-31,2018-12-31,2018,119
2018-12-31,Z31122018,Mühlebach,R00082,6315.0,Veröffentlicht,Kreis 8 (ab 1915),R01100,2018-12-31,2018-12-31,2018,82
2018-12-31,Z31122018,Saatlen,R00121,8582.0,Veröffentlicht,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2018-12-31,2018-12-31,2018,121
2018-12-31,Z31122018,Unterstrass,R00061,23394.0,Veröffentlicht,Kreis 6 (ab 1934),R01200,2018-12-31,2018-12-31,2018,61
2018-12-31,Z31122018,Lindenhof,R00013,990.0,Veröffentlicht,Kreis 1 (Stadtgebiet vor 1893),R10000,2018-12-31,2018-12-31,2018,13
2018-12-31,Z31122018,Hard,R00044,13163.0,Veröffentlicht,Kreis 4 (ab 1915),R00700,2018-12-31,2018-12-31,2018,44
2018-12-31,Z31122018,Wipkingen,R00102,16321.0,Veröffentlicht,Kreis 10 (ab 1934),R01500,2018-12-31,2018-12-31,2018,102
2018-12-31,Z31122018,Langstrasse,R00042,11111.0,Veröffentlicht,Kreis 4 (ab 1915),R00700,2018-12-31,2018-12-31,2018,42
2018-12-31,Z31122018,Albisrieden,R00091,22304.0,Veröffentlicht,Kreis 9 (ab 1934),R01400,2018-12-31,2018-12-31,2018,91
2018-12-31,Z31122018,Enge,R00024,9634.0,Veröffentlicht,Kreis 2 (ab 1893),R00200,2018-12-31,2018-12-31,2018,24
2018-12-31,Z31122018,Werd,R00041,4455.0,Veröffentlicht,Kreis 4 (ab 1915),R00700,2018-12-31,2018-12-31,2018,41
